time,load,wind,solar,price,hour,day_of_week,month,weekend_flag,hour_sin,hour_cos,price_lag_1,price_lag_24,price_lag_168,price_rolling_24,price_rolling_168,residual_load,renewable_share,price_spike,predicted_price,naive_predicted_price,train_test_flag,price_volatility_24h,price_deviation,spike_flag,forecast_error,absolute_error,naive_error,ml_beats_naive,total_renewable
2025-01-09 00:00:00,51341.25,15318.25,6.0,101.44,0,3,1,0,0.0,1.0,103.59,71.05,2.55,104.52750000000002,80.55184523809524,36017.0,0.2984783190904,0,102.18473,103.59,train,29.487309466365655,-3.08750000000002,0,-0.7447305297851585,0.7447305297851585,2.1500000000000057,1,15324.25
2025-01-09 01:00:00,49526.5,14759.75,6.0,100.0,1,3,1,0,0.25881904510252074,0.9659258262890683,101.44,68.01,1.56,105.79374999999999,81.14047619047619,34760.75,0.29813837036737906,0,98.39807,101.44,train,28.627169340619794,-5.793749999999989,0,1.6019287109375,1.6019287109375,1.4399999999999977,0,14765.75
2025-01-09 02:00:00,48386.5,13630.5,5.0,98.77,2,3,1,0,0.49999999999999994,0.8660254037844387,100.0,63.34,3.45,107.12666666666667,81.72642857142857,34751.0,0.28180380891364326,0,98.35887,100.0,train,27.514546929826473,-8.35666666666667,0,0.4111285400390585,0.4111285400390585,1.230000000000004,1,13635.5
2025-01-09 03:00:00,48201.75,13547.75,5.0,95.22,3,3,1,0,0.7071067811865476,0.7071067811865476,98.77,57.01,7.02,108.60291666666666,82.29380952380953,34649.0,0.2811671775402345,0,97.71332,98.77,train,25.970229524553133,-13.38291666666666,0,-2.493317871093751,2.493317871093751,3.549999999999997,1,13552.75
2025-01-09 04:00:00,48949.25,13943.75,5.0,98.28,4,3,1,0,0.8660254037844386,0.5000000000000001,95.22,66.29,12.75,110.195,82.81880952380952,35000.5,0.28496350812320925,0,97.149185,95.22,train,23.745804938428883,-11.914999999999992,0,1.1308148193359386,1.1308148193359386,3.0600000000000023,1,13948.75
2025-01-09 05:00:00,51998.75,13708.25,5.0,102.65,5,3,1,0,0.9659258262890683,0.25881904510252074,98.28,72.07,30.07,111.52791666666666,83.32791666666667,38285.5,0.26372268564148177,0,105.336525,98.28,train,22.008430198876997,-8.87791666666665,0,-2.6865249633789006,2.6865249633789006,4.3700000000000045,1,13713.25
2025-01-09 06:00:00,58810.25,13326.5,5.25,133.54,6,3,1,0,1.0,6.123233995736766e-17,102.65,82.7,67.13,112.80208333333333,83.75994047619048,45478.5,0.2266909254764263,0,123.72778,102.65,train,20.455103749041665,20.737916666666663,0,9.812216796874992,9.812216796874992,30.889999999999986,1,13331.75
2025-01-09 07:00:00,64749.25,12510.5,14.5,148.8,7,3,1,0,0.9659258262890683,-0.25881904510252063,133.54,100.73,98.83,114.92041666666665,84.15523809523809,52224.25,0.19343853403707378,1,151.98549,133.54,train,19.8249830262917,33.87958333333336,0,-3.185488891601551,3.185488891601551,15.26000000000002,1,12525.0
2025-01-09 08:00:00,67587.5,11960.25,452.0,164.88,8,3,1,0,0.8660254037844387,-0.4999999999999998,148.8,128.22,121.53,116.92333333333333,84.45267857142856,55175.25,0.18364712409839098,1,160.57027,148.8,train,20.736301851891387,47.95666666666666,1,4.309733276367183,4.309733276367183,16.079999999999984,1,12412.25
2025-01-09 09:00:00,68350.25,11771.0,2938.25,156.15,9,3,1,0,0.7071067811865476,-0.7071067811865475,164.88,108.18,127.23,118.45083333333334,84.71071428571429,53641.0,0.21520404095083778,1,156.75044,164.88,train,22.84741064515641,37.69916666666667,1,-0.6004425048828068,0.6004425048828068,8.72999999999999,1,14709.25
